ï‚ê≥GX(rad/sec),ï‚ê≥GY(rad/sec),ï‚ê≥GZ(rad/sec),ï‚ê≥G ABS(rad/sec),ï‚ê≥GÅ@ABS(degree/sec)
1.288975235,-0.464357259,-0.465421037,1.446962876,82.90486588
2.400027171,-1.334892402,-1.365755926,3.067141568,175.734267
-1.636578209,-4.643568227,-5.101183863,7.089653794,406.2072406
-4.400371082,-2.003225958,-2.89611091,5.635923908,322.9146536
-5.108079257,-3.113213243,6.896887598,9.129711328,523.0939273
-3.927854701,5.74752482,2.023801931,7.24967988,415.37606
-1.585495923,1.597047201,-2.226712704,3.165850052,181.3898465
0.567431838,-0.672945005,-4.973478148,5.050774075,289.3880378
-1.757899511,-4.317916037,3.685056582,5.942579541,340.4847271
4.8626426,-2.610898862,-3.346278354,6.454429855,369.8115899
6.300411378,-3.820921418,-1.508361513,7.521288352,430.9380791
4.39970633,-1.672252259,-2.161795196,5.179498226,296.7633884
2.066924172,-0.222777561,-0.578228624,2.157812252,123.633535
2.330852806,-1.880840005,-0.150410117,2.998842632,171.8210263
4.474200458,-1.412580482,-2.588549053,5.358585593,307.0243386
5.440517505,-1.984069228,-4.175309577,7.139255667,409.0492186
3.813317711,-1.058194942,-5.444929878,6.731153681,385.6666972
4.828587743,1.437412439,-2.087299323,5.453277233,312.44977
2.235072648,-0.751697735,-2.190530291,3.218543487,184.408958
-1.895185336,1.367175169,-0.149345466,2.341623255,134.1651297
-1.964359701,2.929455709,2.207911439,4.161164826,238.4171824
2.529862188,-2.663045799,2.526114566,4.45794464,255.4214132
3.854821632,-1.206122037,2.026994137,4.519190792,258.9305592
2.227621838,-3.386718497,1.003208646,4.175953642,239.2645191
4.110236552,-1.886161513,1.203284423,4.679694774,268.1267599
5.075488949,-3.63681191,0.631795677,6.275838965,359.5790856
6.292962314,-2.107519831,1.876937741,6.896804319,395.1577796
4.588072696,-2.375705323,2.49418901,5.737191444,328.716856
5.494793743,-1.316800323,1.627908979,5.880204844,336.9109202
2.376613584,-0.66230199,2.589969169,3.576992641,204.9465817
2.279768775,-2.608769561,1.428899598,3.747636369,214.7237471
4.031483822,-2.835449386,-0.076978894,4.929357035,282.4313538
7.149662235,-2.957835339,1.085155328,7.813067391,447.6557866
6.002427886,-1.653095529,0.838254122,6.282080494,359.9366988
3.942088077,-0.875148338,2.671914106,4.84201074,277.4267798
3.771812045,-1.790381354,2.663400391,4.952346226,283.7485374
4.441210251,-2.028767101,2.609124154,5.536043108,317.1919053
2.342558727,-1.940436006,2.153636947,3.727066592,213.5451857
3.349315045,-2.449136545,1.273523439,4.340281446,248.6798088
6.318503457,-2.339521164,1.594918772,6.923915879,396.7111576
4.746642807,-1.146524291,2.52292236,5.496387279,314.9197936
3.207774108,-1.887226164,2.834741074,4.678375175,268.0511525
3.892070441,-2.17456664,1.885451455,4.840648674,277.3487391
3.10454314,-1.771224625,1.932278629,4.063142316,232.8009063
1.960502743,-2.630053847,0.998951789,3.429090101,196.4723903
3.689867108,-2.664110449,0.198655661,4.555443758,261.0077012
5.616115044,-2.569393196,0.07733436,6.176448024,353.8844041
6.004557187,-2.147960846,0.910622439,6.441868987,369.0919051
4.924367902,-1.397682354,2.215362248,5.577700699,319.5787094
3.200323299,-2.368254514,2.305820899,4.600816088,263.6073442
6.792082743,-0.903881688,1.631102931,7.04342863,403.5587338
1.294296743,-1.915959513,2.392022693,3.326841968,190.6140039
3.464251933,-1.616913116,1.477854328,4.098719666,234.8393382
5.926869108,-2.337391863,0.692456328,6.408640566,367.1880569
4.874350267,-0.417530085,1.99187463,5.282157365,302.6453238
3.2024526,-1.735040466,2.33668355,4.327373116,247.9402159
4.647670441,-1.806344132,1.799249661,5.301039426,303.7271862
-18.04692662,4.714162709,12.60539065,22.51245797,1289.868828
-10.59096713,-0.014189815,-0.429236879,10.59967124,607.3164263
-6.638435987,-2.89185318,-2.160730545,7.556480904,432.9544638
2.576687616,-0.204685482,-0.006739878,2.584813464,148.0989023
0.066182108,-0.002483894,-0.002483021,0.066275233,3.797291145
0.009778314,0.000710058,-0.002483021,0.010113605,0.579466879
0.000199949,0.001772963,-0.003547672,0.003971065,0.227525242
-0.000864701,0.001772963,-0.004612322,0.005016436,0.287420587
-0.000864701,0.001772963,-0.003547672,0.004059197,0.232574874
-0.000864701,0.001772963,-0.002483021,0.003171199,0.181696306
-0.000864701,0.001772963,-0.003547672,0.004059197,0.232574874
-0.000864701,0.003902265,-0.003547672,0.005344282,0.306204815
0.000199949,0.001772963,-0.003547672,0.003971065,0.227525242
,,,,
